| Communications | BOSNIA AND HERZEGOVINA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 744,991 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 19 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3,404,043 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88 (July 2016 est.) |
| Telephone system: | general assessment: post-war reconstruction of the telecommunications network, aided by an internationally sponsored program, resulted in sharp increases in fixed-line telephone availability |
| Telephone system: | domestic: fixed-line teledensity roughly 20 per 100 persons; mobile-cellular subscribership has been increasing rapidly and stands at roughly 90 telephones per 100 persons |
| Telephone system: | international: country code - 387; no satellite earth stations (2016) |
| Broadcast media: | 3 public TV broadcasters: Radio and TV of Bosnia and Herzegovina, Federation TV (operating 2 networks), and Republika Srpska Radio-TV; a local commercial network of 5 TV stations; 3 private, near-national TV stations and dozens of small independent TV broadcasting stations; 3 large public radio broadcasters and many private radio stations (2010) |
| Internet country code: | .ba |
| Internet users: | total: 2,677,502 |
| Internet users: | percent of population: 69.3% (July 2016 est.) |
