| Communications | GAMBIA, THE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 45,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2015 est.) |
| Telephones - mobile cellular: | total: 2.586 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 131 (July 2015 est.) |
| Telephone system: | general assessment: adequate microwave radio relay and open-wire network; state-owned Gambia Telecommunications partially privatized in 2007 |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity, aided by multiple mobile-cellular providers, is roughly 130 per 100 persons |
| Telephone system: | international: country code - 220; microwave radio relay links to Senegal and Guinea-Bissau; a landing station for the Africa Coast to Europe (ACE) undersea fiber-optic cable completed in 2011 and launched in 2012; satellite earth station - 1 Intelsat (Atlantic Ocean) (2015) |
| Broadcast media: | state-owned, single-channel TV service; state-owned radio station and 15 privately owned radio stations; 6 community radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; cable and satellite TV subscription services are obtainable in some parts of the country (2015) |
| Internet country code: | .gm |
| Internet users: | total: 337,000 |
| Internet users: | percent of population: 17.1% (July 2015 est.) |
