| Communications | Tokelau |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 300 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2016 est.) |
| Telecommunication systems: | general assessment: modern satellite-based communications system; demand for mobile broadband increasing due to mobile services being the method of access for Internet across the region; 2G widespread with some 4G LTE service; satellite services has improved with the launch of the Kacific-1 satellite launched in 2019 (2020) |
| Telecommunication systems: | domestic: radiotelephone service between islands; fixed-line 21 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 690; landing point for the Southern Cross NEXT submarine cable linking Australia, Tokelau, Samoa, Kiribati, Fiji, New Zealand and Los Angeles, CA (USA); radiotelephone service to Samoa; government-regulated telephone service (TeleTok); satellite earth stations - 3 (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | Sky TV access for around 30% of the population; each atoll operates a radio service that provides shipping news and weather reports (2019) |
| Internet country code: | .tk |
| Internet users: | total: 805 |
| Internet users: | percent of population: 60.2% (July 2016 est.) |
