| Communications | Papua New Guinea |
| --- | --- |
| Telephones - main lines in use: | 60,000 (2008) |
| Telephones - mobile cellular: | 600,000 (2008) |
| Telephone system: | general assessment: services are minimal; facilities provide radiotelephone and telegraph, coastal radio, aeronautical radio, and international radio communication services |
| Telephone system: | domestic: access to telephone services is not widely available; combined fixed-line and mobile-cellular teledensity is 11 per 100 persons |
| Telephone system: | international: country code - 675; submarine cables to Australia and Guam; satellite earth station - 1 Intelsat (Pacific Ocean); international radio communication service (2008) |
| Radio broadcast stations: | AM 8, FM 19, shortwave 28 (1998) |
| Television broadcast stations: | 3 (all in the Port Moresby area; stations at Mt. Hagen, Goroka, Lae, and Rabaul are planned) (2004) |
| Internet country code: | .pg |
| Internet hosts: | 3,432 (2009) |
| Internet users: | 120,000 (2008) |
