| Communications | PAPUA NEW GUINEA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 154,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2 (July 2016 est.) |
| Telephones - mobile cellular: | total: 3.782 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 56 (July 2016 est.) |
| Telephone system: | general assessment: services are minimal; facilities provide radiotelephone and telegraph, coastal radio, aeronautical radio, and international radio communication services |
| Telephone system: | domestic: access to telephone services is not widely available although combined fixed-line and mobile-cellular teledensity has increased to roughly 55 per 100 persons |
| Telephone system: | international: country code - 675; submarine cables to Australia and Guam; satellite earth station - 1 Intelsat (Pacific Ocean); international radio communication service (2016) |
| Broadcast media: | 2 TV stations, 1 commercial station operating since the late 1980s, and 1 state-run station launched in 2008; satellite and cable TV services are available; state-run National Broadcasting Corporation operates 3 radio networks with multiple repeaters and about 20 provincial stations; several commercial radio stations with multiple transmission points as well as several community stations; transmissions of several international broadcasters are accessible (2009) |
| Internet country code: | .pg |
| Internet users: | total: 652,071 |
| Internet users: | percent of population: 9.6% (July 2016 est.) |
