| Communications | Mexico |
| --- | --- |
| Telephones - main lines in use: | 12.332 million (2000) |
| Telephones - mobile cellular: | 2.02 million (1998) |
| Telephone system: | general assessment: low telephone density with about 12 main lines per 100 persons; privatized in December 1990; the opening to competition in January 1997 improved prospects for development |
| Telephone system: | domestic: adequate telephone service for business and government, but the population is poorly served; domestic satellite system with 120 earth stations; extensive microwave radio relay network; considerable use of fiber-optic cable, coaxial cable, and mobile cellular service |
| Telephone system: | international: satellite earth stations - 32 Intelsat, 2 Solidaridad (giving Mexico improved access to South America, Central America, and much of the US as well as enhancing domestic communications), numerous Inmarsat mobile earth stations; linked to Central American Microwave System of trunk connections; high capacity Columbus-2 fiber-optic submarine cable with access to the US, Virgin Islands, Canary Islands, Morocco, Spain, and Italy (1997) |
| Radio broadcast stations: | AM 851, FM 598, shortwave 16 (2000) |
| Radios: | 31 million (1997) |
| Television broadcast stations: | 236 (plus repeaters) (1997) |
| Televisions: | 25.6 million (1997) |
| Internet country code: | .mx |
| Internet Service Providers (ISPs): | 51 (2000) |
| Internet users: | 3.5 million (2002) |
