| Communications | Belarus |
| --- | --- |
| Telephones - main lines in use: | 3.969 million (2009) |
| Telephones - mobile cellular: | 9.686 million (2009) |
| Telephone system: | general assessment: Belarus lags behind its neighbors in upgrading telecommunications infrastructure; modernization of the network progressing with roughly two-thirds of switching equipment now digital |
| Telephone system: | domestic: state-owned Beltelcom is the sole provider of fixed-line local and long distance service; fixed-line teledensity is improving although rural areas continue to be underserved; multiple GSM mobile-cellular networks are experiencing rapid growth; mobile-cellular teledensity reached 100 telephones per 100 persons in 2009 |
| Telephone system: | international: country code - 375; Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); 3 fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations (2008) |
| Broadcast media: | 4 state-controlled national TV channels; Polish and Russian TV broadcasts are available in some areas; state-run Belarusian Radio operates 3 national networks and an external service; Russian and Polish radio broadcasts are available (2007) |
| Internet country code: | .by |
| Internet hosts: | 147,311 (2010) |
| Internet users: | 2.643 million (2009) |
