| Communications | Belarus |
| --- | --- |
| Telephones - main lines in use: | 3.718 million (2008) |
| Telephones - mobile cellular: | 8.693 million (2008) |
| Telephone system: | general assessment: Belarus lags behind its neighbors in upgrading telecommunications infrastructure; state-owned Beltelcom is the sole provider of fixed-line local and long distance service; fixed-line teledensity of roughly 35 per 100 persons; mobile-cellular telephone density of about 90 per 100 persons; modernization of the network progressing with roughly two-thirds of switching equipment now digital |
| Telephone system: | domestic: fixed-line penetration is improving although rural areas continue to be underserved; 3 GSM wireless networks are experiencing rapid growth; strict government controls on telecommunications technologies |
| Telephone system: | international: country code - 375; Belarus is a member of the Trans-European Line (TEL), Trans-Asia-Europe (TAE) fiber-optic line, and has access to the Trans-Siberia Line (TSL); 3 fiber-optic segments provide connectivity to Latvia, Poland, Russia, and Ukraine; worldwide service is available to Belarus through this infrastructure; additional analog lines to Russia; Intelsat, Eutelsat, and Intersputnik earth stations (2008) |
| Radio broadcast stations: | AM 28, FM 37, shortwave 11 (1998) |
| Television broadcast stations: | 47 (plus 27 repeaters) (1995) |
| Internet country code: | .by |
| Internet hosts: | 113,115 (2009) |
| Internet users: | 3.107 million (2008) |
