| Communications | United States |
| --- | --- |
| Telephones - main lines in use: | 194 million (1997) |
| Telephones - mobile cellular: | 69.209 million (1998) |
| Telephone system: | general assessment: a very large, technologically advanced, multipurpose communications system |
| Telephone system: | domestic: a large system of fiber-optic cable, microwave radio relay, coaxial cable, and domestic satellites carries every form of telephone traffic; a rapidly growing cellular system carries mobile telephone traffic throughout the country |
| Telephone system: | international: 24 ocean cable systems in use; satellite earth stations - 61 Intelsat (45 Atlantic Ocean and 16 Pacific Ocean), 5 Intersputnik (Atlantic Ocean region), and 4 Inmarsat (Pacific and Atlantic Ocean regions) (2000) |
| Radio broadcast stations: | AM 4,762, FM 5,542, shortwave 18 (1998) |
| Radios: | 575 million (1997) |
| Television broadcast stations: | more than 1,500 (including nearly 1,000 stations affiliated with the five major networks - NBC, ABC, CBS, FOX, and PBS; in addition, there are about 9,000 cable TV systems) (1997) |
| Televisions: | 219 million (1997) |
| Internet country code: | .us |
| Internet Service Providers (ISPs): | 7,000 (2002 est.) |
| Internet users: | 165.75 million (2002) |
