| Communications | United States |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 119.902 million (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 37 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 395.881 million (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 121 (2017 est.) |
| Telephone system: | general assessment: a large, technologically advanced, multipurpose communications system (2016) |
| Telephone system: | domestic: a large system of fiber-optic cable, microwave radio relay, coaxial cable, and domestic satellites carries every form of telephone traffic; a rapidly growing cellular system carries mobile telephone traffic throughout the country (2016) |
| Telephone system: | international: country code - 1; multiple ocean cable systems provide international connectivity; satellite earth stations - 61 Intelsat (45 Atlantic Ocean and 16 Pacific Ocean), 5 Intersputnik (Atlantic Ocean region), and 4 Inmarsat (Pacific and Atlantic Ocean regions) (2016) |
| Broadcast media: | 4 major terrestrial TV networks with affiliate stations throughout the country, plus cable and satellite networks, independent stations, and a limited public broadcasting sector that is largely supported by private grants; overall, thousands of TV stations broadcasting; multiple national radio networks with many affiliate stations; while most stations are commercial, National Public Radio (NPR) has a network of some 900 member stations; satellite radio available; in total, over 15,000 radio stations operating (2018) |
| Internet country code: | .us |
| Internet users: | total: 246,809,221 (July 2016 est.) |
| Internet users: | percent of population: 76.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 109.838 million (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 34 (2017 est.) |
| Communications - note: | note 1: The Library of Congress, Washington DC, USA, claims to be the largest library in the world with more than 167 million items (as of 2018); its collections are universal, not limited by subject, format, or national boundary, and include materials from all parts of the world and in over 450 languages; collections include: books, newspapers, magazines, sheet music, sound and video recordings, photographic images, artwork, architectural drawings, and copyright data |
| Communications - note: | note 2: Cape Canaveral, Florida, USA, hosts one of four dedicated ground antennas that assist in the operation of the Global Positioning System (GPS) navigation system (the others are on Ascension (Saint Helena, Ascension, and Tistan da Cunha), Diego Garcia (British Indian Ocean Territory), and at Kwajalein (Marshall Islands) |
