| Communications | COOK ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total: 7,800 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 75 (July 2016 est.) |
| Telephones - mobile cellular: | total: 11,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (July 2016 est.) |
| Telephone system: | general assessment: Telecom Cook Islands offers international direct dialing, Internet, email, fax, and Telex |
| Telephone system: | domestic: individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone; within the islands, service is provided by small exchanges connected to subscribers by open-wire, cable, and fiber-optic cable |
| Telephone system: | international: country code - 682; satellite earth station - 1 Intelsat (Pacific Ocean) (2015) |
| Broadcast media: | 1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs (2016) |
| Internet country code: | .ck |
| Internet users: | total: 5,160 |
| Internet users: | percent of population: 54.0% (July 2016 est.) |
