| Communications | Cook Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 7,800 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 75 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 105 (July 2016 est.) |
| Telephone system: | general assessment: Telecom Cook Islands offers international direct dialing, Internet, email, and fax; individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone (2018) |
| Telephone system: | domestic: service is provided by small exchanges connected to subscribers by open-wire, cable, and fiber-optic cable; 75 per 100 fixed-line, 105 per 100 mobile-cellular (2018) |
| Telephone system: | international: country code - 682; Manatua submarine cable to surrounding islands of Niue,Â Samoa,Â French Polynesia and other Cook Islands, theÂ topography of the South Pacific region has made Internet connectivity a seriousÂ issue for many of the remote islands; submarine fiber-optic networks are expensive to build and maintain;Â satellite earth station - 1 Intelsat (Pacific Ocean) (2019) |
| Broadcast media: | 1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs (2019) |
| Internet country code: | .ck |
| Internet users: | total: 5,160 |
| Internet users: | percent of population: 54% (July 2016 est.) |
