| Communications | COOK ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total: 7,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 61 (2009) |
| Telephones - mobile cellular: | total: 7,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 66 (July 2015 est.) |
| Telephone system: | general assessment: Telecom Cook Islands offers international direct dialing, Internet, email, fax, and Telex |
| Telephone system: | domestic: individual islands are connected by a combination of satellite earth stations, microwave systems, and VHF and HF radiotelephone; within the islands, service is provided by small exchanges connected to subscribers by open-wire, cable, and fiber-optic cable |
| Telephone system: | international: country code - 682; satellite earth station - 1 Intelsat (Pacific Ocean) |
| Broadcast media: | 1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs; a satellite program package is available; 6 radio stations broadcast with 1 reportedly reaching all of the islands (2009) |
| Internet country code: | .ck |
| Internet users: | total: 6,000 |
| Internet users: | percent of population: 61% (July 2015 est.) |
