| Communications | Kazakhstan |
| --- | --- |
| Telephones - main lines in use: | 3.41 million (2008) |
| Telephones - mobile cellular: | 14.911 million (2008) |
| Telephone system: | general assessment: inherited an outdated telecommunications network from the Soviet era requiring modernization |
| Telephone system: | domestic: intercity by landline and microwave radio relay; number of fixed-line connections is gradually increasing and fixed-line teledensity now exceeds 20 per 100 persons; mobile-cellular usage is increasing rapidly and the subscriber base now is roughly 100 per 100 persons |
| Telephone system: | international: country code - 7; international traffic with other former Soviet republics and China carried by landline and microwave radio relay and with other countries by satellite and by the Trans-Asia-Europe (TAE) fiber-optic cable; satellite earth stations - 2 Intelsat (2008) |
| Radio broadcast stations: | AM 60, FM 18, shortwave 9 (2008) |
| Television broadcast stations: | 12 (plus 9 repeaters) (1998) |
| Internet country code: | .kz |
| Internet hosts: | 48,873 (2009) |
| Internet users: | 2.3 million (2008) |
