| Communications | Albania |
| --- | --- |
| Telephones - main lines in use: | 331,500 (2010) |
| Telephones - mobile cellular: | 4.548 million (2010) |
| Telephone system: | general assessment: despite new investment in fixed lines teledensity remains low with roughly 10 fixed lines per 100 people; mobile-cellular telephone use is widespread and generally effective |
| Telephone system: | domestic: offsetting the shortage of fixed line capacity, mobile-cellular phone service has been available since 1996; by 2010 multiple companies were providing mobile services and mobile teledensity exceeded 130 per 100 persons; Internet broadband services initiated in 2005 but growth has been slow; Internet cafes are popular in Tirana and have started to spread outside the capital |
| Telephone system: | international: country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2009) |
| Broadcast media: | 3 public television networks, one of which transmits by satellite to Albanian-language communities in neighboring countries; more than 60 private television stations operating; many viewers can pick up Italian and Greek TV broadcasts via terrestrial reception; cable TV service is available; 2 public radio networks and roughly 25 private radio stations; several international broadcasters are available (2010) |
| Internet country code: | .al |
| Internet hosts: | 15,098 (2010) |
| Internet users: | 1.3 million (2009) |
