| Communications | Albania |
| --- | --- |
| Telephones - main lines in use: | 363,000 (2009) |
| Telephones - mobile cellular: | 4.162 million (2009) |
| Telephone system: | general assessment: despite new investment in fixed lines teledensity remains low with roughly 10 fixed lines per 100 people; mobile-cellular telephone use is widespread and generally effective; combined fixed-line and mobile-cellular teledensity is now exceeds 100 per 100 persons |
| Telephone system: | domestic: offsetting the shortage of fixed line capacity, mobile-cellular phone service has been available since 1996; by 2003, two companies were providing mobile services at a greater teledensity than some of Albania's neighbors; Internet broadband services initiated in 2005; Internet cafes are popular in Tirana and have started to spread outside the capital |
| Telephone system: | international: country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber-optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2009) |
| Broadcast media: | 2 public television networks, one of which transmits by satellite to Albanian-language communities in neighboring countries; more than 60 private television stations operating; many viewers can pick up Italian and Greek TV broadcasts via terrestrial reception; cable TV service is available; 2 public radio networks and roughly 50 private radio stations; several international broadcasters are available (2008) |
| Internet country code: | .al |
| Internet hosts: | 15,098 (2010) |
| Internet users: | 1.3 million (2009) |
