| Communications | MALDIVES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,136 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (July 2016 est.) |
| Telephones - mobile cellular: | total: 812,128 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 207 (July 2016 est.) |
| Telephone system: | general assessment: telephone services have improved; inter-atoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that has reached over 200 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | state-owned radio and TV monopoly until recently; state-owned TV operates 2 channels; 3 privately owned TV stations; state owns Voice of Maldives and operates both an entertainment and a music-based station; 5 privately owned radio stations (2012) |
| Internet country code: | .mv |
| Internet users: | total: 232,210 |
| Internet users: | percent of population: 59.1% (July 2016 est.) |
