| Communications | Romania |
| --- | --- |
| Telephones - main lines in use: | 5.036 million (2007) |
| Telephones - mobile cellular: | 24.467 million (2008) |
| Telephone system: | general assessment: the telecommunications sector is being expanded and modernized; domestic and international service improving rapidly, especially mobile-cellular services |
| Telephone system: | domestic: more than 90 percent of telephone network is automatic; fixed-line teledensity exceeds 20 telephones per 100 persons; mobile-cellular teledensity, expanding rapidly, roughly 110 telephones per 100 persons |
| Telephone system: | international: country code - 40; the Black Sea Fiber Optic System provides connectivity to Bulgaria and Turkey; satellite earth stations - 10; digital, international, direct-dial exchanges operate in Bucharest (2008) |
| Radio broadcast stations: | 698 (station frequency type NA) (2006) |
| Television broadcast stations: | 623 (plus 200 repeaters) (2006) |
| Internet country code: | .ro |
| Internet hosts: | 2.188 million (2009) |
| Internet users: | 6.132 million (2008) |
