| Communications | MALAWI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 45,678 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 6.116 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 34 (July 2015 est.) |
| Telephone system: | general assessment: rudimentary; two fixed-line and two mobile-cellular operators govern the market |
| Telephone system: | domestic: limited fixed-line subscribership of about 1 per 100 persons; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership about 30 per 100 persons |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean) (2015) |
| Broadcast media: | radio is the main broadcast medium; privately owned Zodiac radio has the widest national broadcasting reach, followed by state-run radio; about a dozen private and community radio stations broadcast in cities and towns around the country; the largest TV network is government-owned, but two private TV networks now broadcast in urban areas and more plan to begin broadcasting in 2014; relays of multiple international broadcasters are available (2014) |
| Internet country code: | .mw |
| Internet users: | total: 1.67 million |
| Internet users: | percent of population: 9.3% (July 2015 est.) |
