| Communications | Malawi |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,337 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,772,503 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 40 (2017 est.) |
| Telephone system: | general assessment: rudimentary;Â two fixed-line and two mobile-cellular operators govern the market; someÂ mobile services to rural areas; in a resolution to discourage crime the regulatory has imposed SIM card registration since July 2018; 50 licensed ISPs; DSL services are available; LTE services; trial to increase broadband availability (2017) |
| Telephone system: | domestic: limited fixed-line subscribershipÂ less thanÂ 1 per 100 households; mobile-cellular services are expanding but network coverage is limited and is based around the main urban areas; mobile-cellular subscribership approaching 40 per 100 households (2017) |
| Telephone system: | international: country code - 265; satellite earth stations - 2 Intelsat (1 Indian Ocean, 1 Atlantic Ocean); recent access to international submarine fibre cable via neighboring countries (2017) |
| Broadcast media: | radio is the main broadcast medium; privately owned Zodiak radio has the widest national broadcasting reach, followed by state-run radio; numerous private and community radio stations broadcast in cities and towns around the country; the largest TV network is government-owned, but at least 4 private TV networks broadcast in urban areas; relays of multiple international broadcasters are available (2017) |
| Internet country code: | .mw |
| Internet users: | total: 1,785,369 (July 2016 est.) |
| Internet users: | percent of population: 9.6% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 9,220 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
