| Communications | Portugal |
| --- | --- |
| Telephones - main lines in use: | 4.121 million (2008) |
| Telephones - mobile cellular: | 14.91 million (2008) |
| Telephone system: | general assessment: Portugal's telephone system has a state-of-the-art network with broadband, high-speed capabilities |
| Telephone system: | domestic: integrated network of coaxial cables, open-wire, microwave radio relay, and domestic satellite earth stations |
| Telephone system: | international: country code - 351; a combination of submarine cables provide connectivity to Europe, North and East Africa, South Africa, the Middle East, Asia, and the US; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to Azores (2008) |
| Radio broadcast stations: | AM 2, FM 63, shortwave 1 (2008) |
| Television broadcast stations: | 42 (2008) |
| Internet country code: | .pt |
| Internet hosts: | 1.967 million (2009) |
| Internet users: | 4.476 million (2008) |
