| Communications |
| --- | --- |
| Telephones - main lines in use: | 663,000 (1997) |
| Telephones - mobile cellular: | 40,000 (1997) |
| Telephone system: | general assessment: inadequate; requires considerable expansion and modernization; teledensity of 8.6 main lines per 100 persons is very low |
| Telephone system: | domestic: the majority of telephones are in Baku and other industrial centers - about 700 villages still do not have public telephone service; satellite service connects Baku to a modern switch in its exclave of Naxcivan |
| Telephone system: | international: the old Soviet system of cable and microwave is still serviceable; a satellite connection to Turkey enables Baku to reach about 200 additional countries, some of which are directly connected to Baku by satellite providers other than Turkey (1997) |
| Radio broadcast stations: | AM 10, FM 17, shortwave 1 (1998) |
| Radios: | 175,000 (1997) |
| Television broadcast stations: | 2 (1997) |
| Televisions: | 170,000 (1997) |
| Internet country code: | .az |
| Internet Service Providers (ISPs): | 2 (2000) |
| Internet users: | 8,000 (2000) |
