| Communications | COMOROS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 23,500 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3 (2014 est.) |
| Telephones - mobile cellular: | total: 383,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 50 (2014 est.) |
| Telephone system: | general assessment: sparse system of microwave radio relay and HF radiotelephone communication stations |
| Telephone system: | domestic: fixed-line connections only about 3 per 100 persons; mobile cellular usage about 30 per 100 persons |
| Telephone system: | international: country code - 269; landing point for the EASSy fiber-optic submarine cable system connecting East Africa with Europe and North America; HF radiotelephone communications to Madagascar and Reunion (2010) |
| Broadcast media: | national state-owned TV station and a TV station run by Anjouan regional government; national state-owned radio; regional governments on the islands of Grande Comore and Anjouan each operate a radio station; a few independent and small community radio stations operate on the islands of Grande Comore and Moheli, and these two islands have access to Mayotte Radio and French TV (2007) |
| Radio broadcast stations: | AM 1, FM 4, shortwave 1 (2001) |
| Television broadcast stations: | NA |
| Internet country code: | .km |
| Internet users: | total: 50,200 |
| Internet users: | percent of population: 6.6% (2014 est.) |
