| Communications | Comoros |
| --- | --- |
| Telephones - main lines in use: | 25,400 (2009) |
| Telephones - mobile cellular: | 100,000 (2009) |
| Telephone system: | general assessment: sparse system of microwave radio relay and HF radiotelephone communication stations |
| Telephone system: | domestic: fixed-line connections only about 3 per 100 persons; mobile cellular usage about 15 per 100 persons |
| Telephone system: | international: country code - 269; HF radiotelephone communications to Madagascar and Reunion |
| Broadcast media: | national state-owned TV station and a TV station run by Anjouan regional government; national state-owned radio; regional governments on the islands of Grande Comore and Anjouan each operate a radio station; a few independent and small community radio stations operate on the islands of Grande Comore and Moheli, and these two islands have access to Mayotte Radio and French TV (2007) |
| Internet country code: | .km |
| Internet hosts: | 14 (2010) |
| Internet users: | 24,300 (2009) |
