| Communications | Slovakia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 758,842 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 7,117,753 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 131 (2017 est.) |
| Telephone system: | general assessment: a modern telecommunications system that has expanded dramatically in recent years with the growth of cellular services (2017) |
| Telephone system: | domestic: Slovak Telecom maintains a near monopoly on fixed-line service; four companies have a license to operate cellular networks and provide nationwide cellular services (cellular operators); a few other companies provide services but do not have their own networks (2017) |
| Telephone system: | international: country code - 421; 3 international exchanges (1 in Bratislava and 2 in Banska Bystrica) are available; Slovakia is participating in several international telecommunications projects that will increase the availability of external services (2017) |
| Broadcast media: | state-owned public broadcaster, Radio and Television of Slovakia (RTVS), operates 2 national TV stations and multiple national and regional radio networks; roughly 50 privately owned TV stations operating nationally, regionally, and locally; about 40% of households are connected to multi-channel cable or satellite TV; 32 privately owned radio stations (2016) |
| Internet country code: | .sk |
| Internet users: | total: 4,382,558 (July 2016 est.) |
| Internet users: | percent of population: 80.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,404,751 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 26 (2017 est.) |
