| Communications | Armenia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 505,190 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 3,488,524 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 115 (2017 est.) |
| Telephone system: | general assessment: telecommunications investments have made major inroads in modernizing and upgrading the outdated telecommunications network inherited from the Soviet era; now 100% privately owned and undergoing modernization and expansion; with a small populaton and low GDP - moderate growth in mobile market; mobile operators promise mobile broadbandÂ to beÂ faster (2017) |
| Telephone system: | domestic: 17 per 100 fixed-line, 115 per 100 mobile-cellular; reliable fixed-line and mobile-cellular services are available across Yerevan and in major cities and towns; mobile-cellular coverage available in most rural areas (2017) |
| Telephone system: | international: country code - 374; Yerevan is connected to the Trans-Asia-Europe fiber-optic cable through Iran; additional international service is available by microwave radio relay and landline connections to the other countries of the Commonwealth of Independent States, through the Moscow international switch, and by satellite to the rest of the world; satellite earth stations - 3 (2015) |
| Broadcast media: | 2 public TV networks operating alongside about 40 privately owned TV stations that provide local to near nationwide coverage; major Russian broadcast stations are widely available; subscription cable TV services are available in most regions; Armenian TV completed conversion from analog to digital broadcasting in late 2016; Public Radio of Armenia is a national, state-run broadcast network that operates alongside 21 privately owned radio stations; several major international broadcasters are available (2017) |
| Internet country code: | .am |
| Internet users: | total: 1,891,775 (July 2016 est.) |
| Internet users: | percent of population: 62% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 315,319 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 10 (2017 est.) |
