| Communications | Kyrgyzstan |
| --- | --- |
| Telephones - main lines in use: | 438,200 (2005) |
| Telephones - mobile cellular: | 541,700 (2005) |
| Telephone system: | general assessment: development of telecommunications infrastructure is slow; fixed line penetration remains low and concentrated in Bishkek |
| Telephone system: | domestic: two wireless telephony service providers, but penetration remains low |
| Telephone system: | international: country code - 996; connections with other CIS countries by landline or microwave radio relay and with other countries by leased connections with Moscow international gateway switch and by satellite; satellite earth stations - 1 Intersputnik and 1 Intelsat; connected internationally by the Trans-Asia-Europe (TAE) fiber-optic line |
| Radio broadcast stations: | AM 12 (plus 10 repeater stations), FM 14, shortwave 2 (1998) |
| Radios: | 520,000 (1997) |
| Television broadcast stations: | NA (repeater stations throughout the country relay programs from Russia, Uzbekistan, Kazakhstan, and Turkey) (1997) |
| Televisions: | 210,000 (1997) |
| Internet country code: | .kg |
| Internet hosts: | 18,928 (2006) |
| Internet Service Providers (ISPs): | NA |
| Internet users: | 280,000 (2005) |
