| Communications | American Samoa |
| --- | --- |
| Telephones - main lines in use: | 10,400 (2009) |
| Telephones - mobile cellular: | 2,200 (2004) |
| Telephone system: | general assessment: NA |
| Telephone system: | domestic: good telex, telegraph, facsimile, and cellular telephone services; domestic satellite system with 1 Comsat earth station |
| Telephone system: | international: country code - 1-684; satellite earth station - 1 (Intelsat-Pacific Ocean) |
| Broadcast media: | 3 television stations broadcasting; multi-channel pay-per-view television services are available; about a dozen radio stations, some of which are repeater stations (2009) |
| Internet country code: | .as |
| Internet hosts: | 1,676 (2010) |
| Internet users: | NA |
