| Communications | American Samoa |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 8,984 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 17.92 (2019 est.) |
| Telecommunication systems: | general assessment: good telex, telegraph, facsimile, and cellular telephone services; one of the most complete and modern telecommunications systems in the South Pacific Islands; all inhabited islands have telephone connectivity |
| Telecommunication systems: | domestic: 18 per 100 fixed-line teledensity, domestic satellite system with 1 Comsat earth station (2019) |
| Telecommunication systems: | international: country code - 1-684; landing points for the ASH, Southern Cross NEXTÂ and HawaikiÂ Â providingÂ connectivity to New Zealand, Australia, American Samoa, Hawaii, California, andÂ SAS connecting American Samoa with Samoa; satellite earth station - 1 (Intelsat-Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 3 TV stations; multi-channel pay TV services are available; about a dozen radio stations, some of which are repeater stations |
| Internet country code: | .as |
| Internet users: | total: 17,000 |
| Internet users: | percent of population: 31.3% (July 2016 est.) |
