| Communications | NIGERIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 180,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2014 est.) |
| Telephones - mobile cellular: | total: 139 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (2014 est.) |
| Telephone system: | general assessment: further expansion and modernization of the fixed-line telephone network is needed; network quality remains a problem |
| Telephone system: | domestic: the addition of a second fixed-line provider in 2002 resulted in faster growth, but subscribership remains only about 1 per 100 persons; mobile-cellular services growing rapidly, in part responding to the shortcomings of the fixed-line network; multiple cellular providers operate nationally with subscribership base approaching 60 per 100 persons |
| Telephone system: | international: country code - 234; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2010) |
| Broadcast media: | nearly 70 federal government-controlled national and regional TV stations; all 36 states operate TV stations; several private TV stations operational; cable and satellite TV subscription services are available; network of federal government-controlled national, regional, and state radio stations; roughly 40 state government-owned radio stations typically carry their own programs except for news broadcasts; about 20 private radio stations; transmissions of international broadcasters are available (2007) |
| Radio broadcast stations: | AM 83, FM 36, shortwave 11 (2001) |
| Television broadcast stations: | 3 (the government controls 2 of the broadcasting stations and 15 repeater stations) (2001) |
| Internet country code: | .ng |
| Internet users: | total: 66.6 million |
| Internet users: | percent of population: 37.6% (2014 est.) |
