| Communications | Antigua and Barbuda |
| --- | --- |
| Telephones - main lines in use: | 41,700 (2010) |
| Telephones - mobile cellular: | 163,900 (2010) |
| Telephone system: | general assessment: good automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity roughly 50 per 100 persons; mobile-cellular teledensity is some 190 per 100 persons |
| Telephone system: | international: country code - 1-268; landing points for the East Caribbean Fiber System (ECFS) and the Global Caribbean Network (GCN) submarine cable systems with links to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 2; tropospheric scatter to Saba (Netherlands) and Guadeloupe (France) (2009) |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; 1 radio station operated by ABS; roughly 15 radio stations, some broadcasting on multiple frequencies (2007) |
| Internet country code: | .ag |
| Internet hosts: | 9,795 (2010) |
| Internet users: | 65,000 (2009) |
