| Communications | ANTIGUA AND BARBUDA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 12,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13 (July 2015 est.) |
| Telephones - mobile cellular: | total: 126,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 136 (July 2015 est.) |
| Telephone system: | general assessment: good automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity roughly 15 per 100 persons; mobile-cellular teledensity is about 135 per 100 persons |
| Telephone system: | international: country code - 1-268; landing points for the East Caribbean Fiber System (ECFS) and the Global Caribbean Network (GCN) submarine cable systems with links to other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 2; tropospheric scatter to Saba (Netherlands) and Guadeloupe (France) (2015) |
| Broadcast media: | state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies (2007) |
| Internet country code: | .ag |
| Internet users: | total: 60,000 |
| Internet users: | percent of population: 65.2% (July 2015 est.) |
