| Communications | BRAZIL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 44.1 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 22 (2014 est.) |
| Telephones - mobile cellular: | total: 280.7 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 139 (2014 est.) |
| Telephone system: | general assessment: good working system including an extensive microwave radio relay system and a domestic satellite system with 64 earth stations |
| Telephone system: | domestic: fixed-line connections have remained relatively stable in recent years and stand at about 20 per 100 persons; less-expensive mobile-cellular technology has been a major driver in expanding telephone service to the lower-income segments of the population with mobile-cellular teledensity roughly 120 per 100 persons |
| Telephone system: | international: country code - 55; landing point for a number of submarine cables, including Americas-1, Americas-2, Atlantis-2, GlobeNet, South America-1, South American Crossing/Latin American Nautilus, and UNISUR that provide direct connectivity to South and Central America, the Caribbean, the US, Africa, and Europe; satellite earth stations - 3 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic Ocean region east), connected by microwave relay system to Mercosur Brazilsat B3 satellite earth station (2011) |
| Broadcast media: | state-run Radiobras operates a radio and a TV network; more than 1,000 radio stations and more than 100 TV channels operating - mostly privately owned; private media ownership highly concentrated (2007) |
| Radio broadcast stations: | AM 1,365, FM 296, shortwave 161 (of which 91 are collocated with AM stations) (1999) |
| Television broadcast stations: | 138 (1997) |
| Internet country code: | .br |
| Internet users: | total: 108.2 million |
| Internet users: | percent of population: 53.4% (2014 est.) |
