| Communications | Mozambique |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 80,545 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 11,875,506 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 45 (2017 est.) |
| Telephone system: | general assessment: the mobile segment has shown strong growth since the introduction of competition in 2003; poor fixed-line infrastructure means most Internet access is through mobile accounts (2016) |
| Telephone system: | domestic: extremely low fixed-line teledensity contrasts with rapid growth in the mobile-cellular network; three mobile-cellular operators provide coverage that includes all the main cities and key roads; mobile-cellular teledensity now about 70 per 100 persons (2016) |
| Telephone system: | international: country code - 258; landing point for the EASSy and SEACOM fiber-optic submarine cable systems; satellite earth stations - 5 Intelsat (2 Atlantic Ocean and 3 Indian Ocean) (2016) |
| Broadcast media: | 1 state-run TV station supplemented by private TV station; Portuguese state TV's African service, RTP Africa, and Brazilian-owned TV Miramar are available; state-run radio provides nearly 100% territorial coverage and broadcasts in multiple languages; a number of privately owned and community-operated stations; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .mz |
| Internet users: | total: 4,543,284 (July 2016 est.) |
| Internet users: | percent of population: 17.5% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 41,653 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
