| Communications | MALDIVES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,911 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2015 est.) |
| Telephones - mobile cellular: | total: 740,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 188 (July 2015 est.) |
| Telephone system: | general assessment: telephone services have improved; inter-atoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that has reached over 180 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2015) |
| Broadcast media: | state-owned radio and TV monopoly until recently; state-owned TV operates 2 channels; 3 privately owned TV stations; state owns Voice of Maldives and operates both an entertainment and a music-based station; 5 privately owned radio stations (2012) |
| Internet country code: | .mv |
| Internet users: | total: 214,000 |
| Internet users: | percent of population: 54.5% (July 2015 est.) |
