| Communications | MALDIVES |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,500 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2014 est.) |
| Telephones - mobile cellular: | total: 665,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 169 (2014 est.) |
| Telephone system: | general assessment: telephone services have improved; inter-atoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that has reached 135 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | state-owned radio and TV monopoly until recently; state-owned TV operates 2 channels; 3 privately owned TV stations; state owns Voice of Maldives and operates both an entertainment and a music-based station; 5 privately owned radio stations (2012) |
| Radio broadcast stations: | AM 1, FM 6, shortwave 1 (2009) |
| Television broadcast stations: | 2 (2009) |
| Internet country code: | .mv |
| Internet users: | total: 18,600 |
| Internet users: | percent of population: 4.7% (2014 est.) |
