| Communications | Maldives |
| --- | --- |
| Telephones - main lines in use: | 48,000 (2010) |
| Telephones - mobile cellular: | 494,400 (2010) |
| Telephone system: | general assessment: telephone services have improved; interatoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that exceeds 100 per 100 persons |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2009) |
| Broadcast media: | state-owned radio and television monopoly until recently; state-owned TV operates 2 channels; 2 privately-owned TV stations; state owns Voice of Maldives and operates both an entertainment and a music-based station; there are 5 privately-owned radio broadcast stations operating (2009) |
| Internet country code: | .mv |
| Internet hosts: | 2,164 (2010) |
| Internet users: | 86,400 (2009) |
