| Communications | Maldives |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,377 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 900,120 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 229 (2017 est.) |
| Telephone system: | general assessment: telephone services have improved; inter-atoll communication through microwave links; all inhabited islands and resorts are connected with telephone and fax service (2016) |
| Telephone system: | domestic: each island now has at least 1 public telephone, and there are mobile-cellular networks with a rapidly expanding subscribership that has reached over 200 per 100 persons (2016) |
| Telephone system: | international: country code - 960; linked to international submarine cable Fiber-Optic Link Around the Globe (FLAG); satellite earth station - 3 Intelsat (Indian Ocean) (2016) |
| Broadcast media: | state-owned radio and TV monopoly until recently; 1 state-operated and 7 privately owned TV stations and 4 state-operated and 7 privately owned radio stations (2018) |
| Internet country code: | .mv |
| Internet users: | total: 232,210 (July 2016 est.) |
| Internet users: | percent of population: 59.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 36,001 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2017 est.) |
