| Communications | Maldives |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 20,377 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 900,120 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 229 (2017 est.) |
| Telephone system: | general assessment: all inhabited islands and resorts are connected with telephone and fax service; two mobile operators extend LTE coverage;Â Â tourism has strengthened the telecom market with investment; the unusually high mobile penetration rate is also helped by tourism; Internet bandwidth increased 37% in 2016; mobile penetration passes 250% (2018) |
| Telephone system: | domestic: fixed-line is at 5 per 100 persons and high mobile-cellular subscriptions stands at 229 per 100 persons (2018) |
| Telephone system: | international: country code - 960; landing points for Dhiraagu Cable Network, NaSCOM, Dhiraagu-SLT Submarine Cable Networks and WARF submarine cables providing connections to 8 points in Maldives, India, and Sri Lanka;Â satellite earth station - 3 Intelsat (Indian Ocean) (2019) |
| Broadcast media: | state-owned radio and TV monopoly until recently;Â 4 state-operated and 7 privately owned TV stations and 4 state-operated and 7 privately owned radio stations (2019) |
| Internet country code: | .mv |
| Internet users: | total: 232,210 |
| Internet users: | percent of population: 59.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 36,001 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2017 est.) |
