| Communications | Niger |
| --- | --- |
| Telephones - main lines in use: | 85,900 (2011) |
| Telephones - mobile cellular: | 4.743 million (2011) |
| Telephone system: | general assessment: inadequate; small system of wire, radio telephone communications, and microwave radio relay links concentrated in the southwestern area of Niger |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity remains only about 30 per 100 persons despite a rapidly increasing cellular subscribership base; domestic satellite system with 3 earth stations and 1 planned |
| Telephone system: | international: country code - 227; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) |
| Broadcast media: | state-run TV station; 3 private TV stations provide a mix of local and foreign programming; state-run radio has only radio station with a national reach; about 30 private radio stations operate locally; as many as 100 community radio stations broadcast; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .ne |
| Internet hosts: | 454 (2012) |
| Internet users: | 115,900 (2009) |
