| Communications | Niger |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 114,352 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,778,884 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 46 (2017 est.) |
| Telephone system: | general assessment: inadequate; small system of wire, radio telephone communications, and microwave radio relay links concentrated in southwestern Niger (2016) |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity remains only about 50 per 100 persons despite a rapidly increasing cellular subscribership base; domestic satellite system with 3 earth stations and 1 planned (2016) |
| Telephone system: | international: country code - 227; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) (2016) |
| Broadcast media: | state-run TV station; 3 private TV stations provide a mix of local and foreign programming; state-run radio has only radio station with national coverage; about 30 private radio stations operate locally; as many as 100 community radio stations broadcast; transmissions of multiple international broadcasters are available (2007) |
| Internet country code: | .ne |
| Internet users: | total: 805,702 (July 2016 est.) |
| Internet users: | percent of population: 4.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 8,650 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
