| Communications | Somalia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 48,000 (July 2016 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2016 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,653,040 (July 2016 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 60 (July 2016 est.) |
| Telephone system: | general assessment: the public telecom system was almost completely destroyed or dismantled during the civil war; private companies offer limited local fixed-line service, and private wireless companies offer service in most major cities, while charging some of the lowest rates on the continent (2016) |
| Telephone system: | domestic: seven networks compete for customers in the mobile sector; some of these mobile-service providers offer fixed-line and Internet services (2016) |
| Telephone system: | international: country code - 252; Mogadishu is a landing point for the EASSy fiber-optic submarine cable system linking East Africa with Europe and North America; this connection ended the country's expensive satellite-dependent Internet access (2016) |
| Broadcast media: | 2 private TV stations rebroadcast Al-Jazeera and CNN; Somaliland has 1 government-operated TV station and Puntland has 1 private TV station; the transitional government operates Radio Mogadishu; 1 SW and roughly 10 private FM radio stations broadcast in Mogadishu; several radio stations operate in central and southern regions; Somaliland has 1 government-operated radio station; Puntland has roughly a half-dozen private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .so |
| Internet users: | total: 203,366 (July 2016 est.) |
| Internet users: | percent of population: 1.9% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 92,000 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2017 est.) |
