| Communications | Barbados |
| --- | --- |
| Telephones - main lines in use: | 140,700 (2011) |
| Telephones - mobile cellular: | 347,900 (2011) |
| Telephone system: | general assessment: island-wide automatic telephone system |
| Telephone system: | domestic: fixed-line teledensity of roughly 50 per 100 persons; mobile-cellular telephone density approaching 125 per 100 persons |
| Telephone system: | international: country code - 1-246; landing point for the East Caribbean Fiber System (ECFS) submarine cable with links to 13 other islands in the eastern Caribbean extending from the British Virgin Islands to Trinidad; satellite earth stations - 1 (Intelsat -Atlantic Ocean); tropospheric scatter to Trinidad and Saint Lucia (2009) |
| Broadcast media: | government-owned Caribbean Broadcasting Corporation (CBC) operates the lone terrestrial TV station; CBC also operates a multi-channel cable TV subscription service; roughly a dozen radio stations, consisting of a CBC-operated network operating alongside privately-owned radio stations (2007) |
| Internet country code: | .bb |
| Internet hosts: | 1,524 (2012) |
| Internet users: | 188,000 (2008) |
