| Communications | India |
| --- | --- |
| Telephones - main lines in use: | 35.09 million (2010) |
| Telephones - mobile cellular: | 752 million (2010) |
| Telephone system: | general assessment: supported by recent deregulation and liberalization of telecommunications laws and policies, India has emerged as one of the fastest growing telecom markets in the world; total telephone subscribership base reached 700 million, an overall teledensity of 60%, and subscribership is currently growing more than 15 million per month; urban teledensity has reached 100% and rural teledensity is about 20% and steadily growing |
| Telephone system: | domestic: mobile cellular service introduced in 1994 and organized nationwide into four metropolitan areas and 19 telecom circles each with multiple private service providers and one or more state-owned service providers; in recent years significant trunk capacity added in the form of fiber-optic cable and one of the world's largest domestic satellite systems, the Indian National Satellite system (INSAT), with 6 satellites supporting 33,000 very small aperture terminals (VSAT) |
| Telephone system: | international: country code - 91; a number of major international submarine cable systems, including Sea-Me-We-3 with landing sites at Cochin and Mumbai (Bombay), Sea-Me-We-4 with a landing site at Chennai, Fiber-Optic Link Around the Globe (FLAG) with a landing site at Mumbai (Bombay), South Africa - Far East (SAFE) with a landing site at Cochin, the i2i cable network linking to Singapore with landing sites at Mumbai (Bombay) and Chennai (Madras), and Tata Indicom linking Singapore and Chennai (Madras), provide a significant increase in the bandwidth available for both voice and data traffic; satellite earth stations - 8 Intelsat (Indian Ocean) and 1 Inmarsat (Indian Ocean region); 9 gateway exchanges operating from Mumbai (Bombay), New Delhi, Kolkata (Calcutta), Chennai (Madras), Jalandhar, Kanpur, Gandhinagar, Hyderabad, and Ernakulam (2010) |
| Broadcast media: | Doordarshan, India's public TV network, operates about 20 national, regional, and local services; large number of privately-owned TV stations are distributed by cable and satellite service providers; government controls AM radio with All India Radio operating domestic and external networks; news broadcasts via radio are limited to the All India Radio Network; since 2000, privately-owned FM stations are permitted but limited to broadcasting entertainment and educational content (2007) |
| Internet country code: | .in |
| Internet hosts: | 4.536 million (2010) |
| Internet users: | 61.338 million (2009) |
