| Communications | FALKLAND ISLANDS (ISLAS MALVINAS) |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,100 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 66 (2014 est.) |
| Telephones - mobile cellular: | total: 4,200 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 133 (2014 est.) |
| Telephone system: | domestic: government-operated radiotelephone and private VHF/CB radiotelephone networks provide effective service to almost all points on both islands |
| Telephone system: | international: country code - 500; satellite earth station - 1 Intelsat (Atlantic Ocean) with links through London to other countries (2011) |
| Broadcast media: | TV service provided by a multi-channel service provider; radio services provided by the public broadcaster, Falkland Islands Radio Service, broadcasting on both AM and FM frequencies, and by the British Forces Broadcasting Service (BFBS) (2007) |
| Radio broadcast stations: | AM 1, FM 7, shortwave 0 (British Forces Broadcasting Service (BFBS) provides Radio 1 and Radio 2 service) (2006) |
| Television broadcast stations: | 2 (British Forces Broadcasting Service (BFBS) provides multi-channel satellite service to members of UK Forces as well as islanders); cable television is available in Stanley (2006) |
| Internet country code: | .fk |
| Internet users: | total: 2,900 |
| Internet users: | percent of population: 92.4% (2009) |
