| Communications | FALKLAND ISLANDS (ISLAS MALVINAS) |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,255 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 77 (July 2016 est.) |
| Telephones - mobile cellular: | total: 5,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 171 (July 2016 est.) |
| Telephone system: | domestic: government-operated radiotelephone and private VHF/CB radiotelephone networks provide effective service to almost all points on both islands |
| Telephone system: | international: country code - 500; satellite earth station - 1 Intelsat (Atlantic Ocean) with links through London to other countries (2015) |
| Broadcast media: | TV service provided by a multi-channel service provider; radio services provided by the public broadcaster, Falkland Islands Radio Service, broadcasting on both AM and FM frequencies, and by the British Forces Broadcasting Service (BFBS) (2007) |
| Internet country code: | .fk |
| Internet users: | total: 3,000 |
| Internet users: | percent of population: 98.3% (July 2016 est.) |
