| Communications | Saudi Arabia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,619,352 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 40,210,965 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 141 (2017 est.) |
| Telephone system: | general assessment: modern system including a combination of extensive microwave radio relays, coaxial cables, and fiber-optic cables; broadband is available with DSL, fibre, and wireless; mobile penetration is steep in Saudi Arabia; 4G/5G useÂ in early 2019 (2018) |
| Telephone system: | domestic: fixed-line 13 per 100 mobile-cellular subscribership has been increasing rapidly 141 per 100 persons (2018) |
| Telephone system: | international: country code - 966; landing points for theÂ SeaMeWe-3, -4, -5, AAE-1, EIG, FALCON, FEA, IMEWE, MENA/Gulf Bridge International, SEACOM, SAS-1, -2, GBICS/MENA, and the Tata TGN-Gulf submarine cables providing connectivity to Europe, Africa, the Middle East, Asia, Southeast Asia and AustraliaÂ ;microwave radio relay to Bahrain, Jordan, Kuwait, Qatar, UAE, Yemen, and Sudan; coaxial cable to Kuwait and Jordan; satellite earth stations - 5 Intelsat (3 Atlantic Ocean and 2 Indian Ocean), 1 Arabsat, and 1 Inmarsat (Indian Ocean region) (2019) |
| Broadcast media: | broadcast media are state-controlled; state-run TV operates 4 networks; Saudi Arabia is a major market for pan-Arab satellite TV broadcasters; state-run radio operates several networks; multiple international broadcasters are available |
| Internet country code: | .sa |
| Internet users: | total: 20,768,456 |
| Internet users: | percent of population: 73.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,498,692 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 9 (2017 est.) |
| Communications - note: | the innovative King Abdulaziz Center for World Culture (informally known as Ithra, meaning "enrichment") opened on 1 December 2017 in Dhahran, Eastern Region; its facilities include a grand library, several museums, an archive, an Idea Lab, a theater, a cinema, and an Energy Exhibit, all which are meant to provide visitors an immersive and transformative experience |
