| Communications | Morocco |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,046,390 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 43,916,066 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (2017 est.) |
| Telephone system: | general assessment: good system composed of open-wire lines, cables, and microwave radio relay links; principal switching centers are Casablanca and Rabat; national network nearly 100% digital using fiber-optic links; improved rural service employs microwave radio relay;Â one of the most state-of-the-art markets in Africa; high mobile penetration rates in the region with low cost for broadband Internet access; LTE and VoD (Video on Demand) launched (2018) |
| Telephone system: | domestic: fixed-line teledensity isÂ 6 per 100 persons; mobile-cellular subscribership exceeds 129 per 100 persons (2018) |
| Telephone system: | international: country code - 212; landing point for the Atlas Offshore, Estepona-Tetouan, CanalinkÂ and SEA-ME-WE-3 fiber-optic telecommunications undersea cables that provide connectivity to Asia,Â Africa,Â the Middle East, Europe and Australia; satellite earth stations - 2 Intelsat (Atlantic Ocean) and 1 Arabsat; microwave radio relay to Gibraltar, Spain, and Western Sahara (2019) |
| Broadcast media: | 2 TV broadcast networks with state-run Radio-Television Marocaine (RTM) operating one network and the state partially owning the other; foreign TV broadcasts are available via satellite dish; 3 radio broadcast networks with RTM operating one; the government-owned network includes 10 regional radio channels in addition to its national service (2019) |
| Internet country code: | .ma |
| Internet users: | total: 19,611,643 |
| Internet users: | percent of population: 58.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,378,867 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2017 est.) |
| Communications - note: | the University of al-Quarawiyyin Library in Fez is recognized as the oldest existing, continually operating library in the world, dating back to A.D. 859; among its holdings are approximately 4,000 ancient Islamic manuscripts (2018) |
