| Communications | Iran |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 29,330,454 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 34.92 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 119,598,034 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 142.39 (2019 est.) |
| Telecommunication systems: | general assessment: opportunities for telecoms growth, but disadvantagedÂ by theÂ lack of significant investment; one of the largest populations in the Middle East with a huge demand for services; mobile penetration is high with over 90% accessing 4G LTE coverage; Iranian-net, is currently expanding a fiber network toÂ reach 8 million customers; govt. is proactively preparing regulations for 5G development (2020) |
| Telecommunication systems: | domestic: 35 per 100 for fixed-line and 142 per 100 for mobile-cellular subscriptions; investment by Iran's state-owned telecom company has greatly improved and expanded both the fixed-line and mobile cellular networks; a huge percentage of the cell phones in the market have been smuggled into the country (2019) |
| Telecommunication systems: | international: country code - 98; landing points for Kuwait-Iran, GBICS &Â MENA, FALCON, OMRAN/3PEG Cable System, POI and UAE-Iran submarine fiber-optic cable toÂ theÂ Middle East, Africa and India;Â (TAE) fiber-optic line runs from Azerbaijan through the northern portion of Iran to Turkmenistan with expansion to Georgia and Azerbaijan; HF radio and microwave radio relay to Turkey, Azerbaijan, Pakistan, Afghanistan, Turkmenistan, Syria, Kuwait, Tajikistan, and Uzbekistan; satellite earth stations - 13 (9 Intelsat and 4 Inmarsat) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-run broadcast media with no private, independent broadcasters; Islamic Republic of Iran Broadcasting (IRIB), the state-run TV broadcaster, operates 19 nationwide channels including a news channel, about 34 provincial channels, and several international channels; about 20 foreign Persian-language TV stations broadcasting on satellite TV are capable of being seen in Iran; satellite dishes are illegal and, while their use is subjectively tolerated, authorities confiscate satellite dishes from time to time; IRIB operates 16 nationwide radio networks, a number of provincial stations, and an external service; most major international broadcasters transmit to Iran (2019) |
| Internet country code: | .ir |
| Internet users: | total: 58,117,322 |
| Internet users: | percent of population: 70% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 9,806,123 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 12 (2018 est.) |
