| Communications | Togo |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 45,311 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,477,816 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77.2 (2019 est.) |
| Telecommunication systems: | general assessment: system based on a network of microwave radio relay routes supplemented by open-wire lines and a mobile-cellular system; telecoms supply 8% of GDP; 3 mobile operators; 12% of residents have access to the Internet; mobile subscribers and mobile broadband both increasing (2020) |
| Telecommunication systems: | domestic: fixed-line less than 1 per 100 and mobile-cellular 77 telephones per 100 persons with mobile-cellular use predominating (2019) |
| Telecommunication systems: | international: country code - 228; landing point for the WACS submarine cable, linking countries along the west coast of Africa with each other and with Portugal; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Symphonie (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1Â state-owned TV station with multiple transmission sites; five private TV stations broadcast locally; cable TV service is available; state-owned radio network with two stations (in Lome and Kara); several dozen private radio stations and a few community radio stations; transmissions of multiple international broadcasters available (2019) |
| Internet country code: | .tg |
| Internet users: | total: 1,010,609 |
| Internet users: | percent of population: 12.36% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 26,156 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
