| Communications | Iceland |
| --- | --- |
| Telephones - main lines in use: | 187,000 (2008) |
| Telephones - mobile cellular: | 342,000 (2008) |
| Telephone system: | general assessment: telecommunications infrastructure is modern and fully digitized, with satellite-earth stations, fiber-optic cables, and an extensive broadband network |
| Telephone system: | domestic: liberalization of the telecommunications sector beginning in the late 1990s has led to increased competition especially in the mobile services segment of the market |
| Telephone system: | international: country code - 354; the CANTAT-3 and FARICE-1 submarine cable systems provide connectivity to Canada, the Faroe Islands, UK, Denmark, and Germany; a planned new section of the Hibernia-Atlantic submarine cable will provide additional connectivity to Canada, US, and Ireland; satellite earth stations - 2 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic and Indian Ocean regions); note - Iceland shares the Inmarsat earth station with the other Nordic countries (Denmark, Finland, Norway, and Sweden) |
| Radio broadcast stations: | AM 3, FM about 70, shortwave 1 (2008) |
| Television broadcast stations: | 14 (plus 156 repeaters) (1997) |
| Internet country code: | .is |
| Internet hosts: | 272,201 (2009) |
| Internet users: | 250,000 (2008) |
