| Communications | Estonia |
| --- | --- |
| Telephones - main lines in use: | 501,691 (2000) |
| Telephones - mobile cellular: | 711,000 (yearend 2001) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service; substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; internet services are available throughout most of the country - only about 11,000 subscriber requests were unfilled by September 2000 |
| Telephone system: | domestic: a wide range of high quality voice, data, and internet services is available throughout the country |
| Telephone system: | international: fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; two international switches are located in Tallinn (2001) |
| Radio broadcast stations: | AM 0, FM 98, shortwave 0 (2001) |
| Radios: | 1.01 million (1997) |
| Television broadcast stations: | 3 (2001) |
| Televisions: | 605,000 (1997) |
| Internet country code: | .ee |
| Internet Service Providers (ISPs): | 38 (2001) |
| Internet users: | 429,700 (2002) |
