| Communications | Afghanistan |
| --- | --- |
| Telephones - main lines in use: | 33,100 (2002) |
| Telephones - mobile cellular: | 15,000 (2002) |
| Telephone system: | general assessment: very limited telephone and telegraph service |
| Telephone system: | domestic: telephone service is improving with the establishment of two mobile phone operators by 2003; telephone main lines remain weak with only .1 line per 10 people |
| Telephone system: | international: country code - 93; five VSAT's installed in Kabul, Herat, Mazar-e-Sharif, Kandahar, and Jalalabad provide international and domestic voice and data connectivity |
| Radio broadcast stations: | AM 21, FM 23, shortwave 1 (broadcasts in Pashtu, Afghan Persian (Dari), Urdu, and English) (2003) |
| Radios: | 167,000 (1999) |
| Television broadcast stations: | at least 10 (one government-run central television station in Kabul and regional stations in nine of the 32 provinces; the regional stations operate on a reduced schedule; also, in 1997, there was a station in Mazar-e Sharif reaching four northern Afghanistan provinces) (1998) |
| Televisions: | 100,000 (1999) |
| Internet country code: | .af |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 1,000 (2002) |
| Communications - note: | in March 2003 'af' was established as Afghanistan's domain name; Internet access is growing through Internet cafes as well as public "telekiosks" in Kabul that are part of a nationwide network proposed by the Transitional Authority for Internet access (2002) |
