| Communications | Kenya |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 69,861 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 42,815,109 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 90 (2017 est.) |
| Telephone system: | general assessment: the mobile-cellular system is generally good, especially is urban areas; fixed-line telephone system is small and inefficient; trunks are primarily microwave radio relay;Â to encourageÂ advancement of the LTEÂ services the govt. has fostered a open-access approach;Â govt. progresses with national broadband strategy; more licencing being awarded has led to competion which is good for growth (2017) |
| Telephone system: | domestic: multiple providers in the mobile-cellular segment of the market fostering a boom in mobile-cellular telephone usage with teledensity reaching 90 per 100 persons; fixed-line subscriptions stand at less than 1 per 100 persons (2017) |
| Telephone system: | international: country code - 254; landing point for the EASSy, TEAMS and SEACOM fiber-optic submarine cable systems; satellite earth stations - 4 Intelsat; launches first micro satellites; (2017) |
| Broadcast media: | about a half-dozen large-scale privately owned media companies with TV and radio stations, as well as a state-owned TV broadcaster, provide service nationwide; satellite and cable TV subscription services available; state-owned radio broadcaster operates 2 national radio channels and provides regional and local radio services in multiple languages; many private radio stations broadcast on a national level along with over 100 private and non-profit provincial stations broadcasting in local languages; transmissions of several international broadcasters available (2014) |
| Internet country code: | .ke |
| Internet users: | total: 12,165,597 (July 2016 est.) |
| Internet users: | percent of population: 26% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 288,303 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
