| Communications | Congo, Democratic Republic of the |
| --- | --- |
| Telephones - main lines in use: | 40,000 (2009) |
| Telephones - mobile cellular: | 10.163 million (2009) |
| Telephone system: | general assessment: barely adequate wire and microwave radio relay service in and between urban areas; domestic satellite system with 14 earth stations; inadequate fixed line infrastructure |
| Telephone system: | domestic: state-owned operator providing less than 1 fixed-line connection per 1000 persons; given the backdrop of a wholly inadequate fixed-line infrastructure, the use of mobile-cellular services has surged and subscribership in 2009 exceeded 10 million - roughly 15 per 100 persons |
| Telephone system: | international: country code - 243; satellite earth station - 1 Intelsat (Atlantic Ocean) (2009) |
| Broadcast media: | state-owned TV broadcast station with near national coverage; more than a dozen privately-owned TV stations with 2 having near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .cd |
| Internet hosts: | 3,006 (2010) |
| Internet users: | 290,000 (2008) |
