| Communications | Congo, Democratic Republic of the |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: NA (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: NA (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 35,270,156 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 42 (2017 est.) |
| Telephone system: | general assessment: barely adequate wire and microwave radio relay service in and between urban areas; domestic satellite system with 14 earth stations; inadequate fixed-line infrastructure; efforts have been made to improve regulating the telecom sector; wars and social upheavel have not promoted advancement; a revised Telecommunications Act adopted in May 2018, though the practical implementation of the Act's measures remains dubious (2017) |
| Telephone system: | domestic: fixed-line connections only about 8 per 100 persons; given the backdrop of a wholly inadequate fixed-line infrastructure, the use of mobile-cellular services has surged and mobile teledensity is over 42 per 100 persons (2017) |
| Telephone system: | international: country code - 243; satellite earth station - 1 Intelsat (Atlantic Ocean); the country was finally connected to low-cost, high-quality international bandwidth through the WACS submarine fibre optic cable in 2013, and SCPT is rolling out a fibre optic national backbone network with support from China (2017) |
| Broadcast media: | state-owned TV broadcast station with near national coverage; more than a dozen privately owned TV stations - 2 with near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .cd |
| Internet users: | total: 3.016 million (July 2016 est.) |
| Internet users: | percent of population: 3.8% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,000 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
