| Communications | Colombia |
| --- | --- |
| Telephones - main lines in use: | 6.809 million (2010) |
| Telephones - mobile cellular: | 43.405 million (2010) |
| Telephone system: | general assessment: modern system in many respects with a nationwide microwave radio relay system, a domestic satellite system with 41 earth stations, and a fiber-optic network linking 50 cities; telecommunications sector liberalized during the 1990s; multiple providers of both fixed-line and mobile-cellular services |
| Telephone system: | domestic: fixed-line connections stand at about 15 per 100 persons; mobile cellular telephone subscribership is about 90 per 100 persons; competition among cellular service providers is resulting in falling local and international calling rates and contributing to the steep decline in the market share of fixed line services |
| Telephone system: | international: country code - 57; landing points for the ARCOS, Colombia-Florida Subsea Fiber (CFX-1), Maya-1, Pan American, and the South America-1 submarine cables providing links to the US, parts of the Caribbean, and Central and South America; satellite earth stations - 10 (6 Intelsat, 1 Inmarsat, 3 fully digitalized international switching centers) (2009) |
| Broadcast media: | combination of state-owned and privately-owned broadcast media provide service; more than 500 radio stations and large number of national, regional, and local TV stations (2007) |
| Internet country code: | .co |
| Internet hosts: | 2.527 million (2010) |
| Internet users: | 22.538 million (2009) |
