| Communications | Eritrea |
| --- | --- |
| Telephones - main lines in use: | 48,500 (2009) |
| Telephones - mobile cellular: | 141,100 (2009) |
| Telephone system: | general assessment: inadequate; most telephones are in Asmara; government is seeking international tenders to improve the system (2002) |
| Telephone system: | domestic: combined fixed-line and mobile-cellular subscribership is only about 3 per 100 persons (2009) |
| Telephone system: | international: country code - 291; note - international connections exist |
| Broadcast media: | government controls broadcast media with private ownership prohibited; 1 state-owned TV station; state-owned radio operates 2 networks; purchases of satellite dishes and subscriptions to international broadcast media are permitted (2007) |
| Internet country code: | .er |
| Internet hosts: | 1,241 (2010) |
| Internet users: | 200,000 (2008) |
