| Communications | Congo, Democratic Republic of the |
| --- | --- |
| Telephones - main lines in use: | 58,200 (2012) |
| Telephones - mobile cellular: | 19.487 million (2012) |
| Telephone system: | general assessment: barely adequate wire and microwave radio relay service in and between urban areas; domestic satellite system with 14 earth stations; inadequate fixed line infrastructure |
| Telephone system: | domestic: state-owned operator providing less than 1 fixed-line connection per 100 persons; given the backdrop of a wholly inadequate fixed-line infrastructure, the use of mobile-cellular services has surged and mobile teledensity is roughly 20 per 100 persons |
| Telephone system: | international: country code - 243; satellite earth station - 1 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | state-owned TV broadcast station with near national coverage; more than a dozen privately owned TV stations with 2 having near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available (2007) |
| Internet country code: | .cd |
| Internet hosts: | 2,515 (2012) |
| Internet users: | 290,000 (2008) |
