| Communications | Brazil |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 40,878,018 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 236,488,548 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 114 (2017 est.) |
| Telephone system: | general assessment: good working system including an extensive microwave radio relay system and a domestic satellite system with 64 earth stations; four major mobile operators offering a range of voice and data services; one of the largest broadband markets in Latin America, broadband penetrationÂ only behind Chile, Argentina, and Uruguay; country is a pioneer in the region for m-commerce (electronic commerce conducted on mobile phones) (2017) |
| Telephone system: | domestic: fixed-line connections have remained relatively stable in recent years and stand at about 20 per 100 persons; less-expensive mobile-cellular technology has been a major impetus broadening telephone service to the lower-income segments of the population with mobile-cellular teledensity roughly 114 per 100 persons (2017) |
| Telephone system: | international: country code - 55; landing point for a number of submarine cables, including Americas-1, Americas-2, Atlantis-2, GlobeNet, South America-1, South American Crossing/Latin American Nautilus, and UNISUR that provide direct connectivity to South and Central America, the Caribbean, the US, Africa, and Europe; satellite earth stations - 3 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic Ocean region east), connected by microwave relay system to Mercosur Brazilsat B3 satellite earth station; Brazil is connected through submarine cables to the USA, Central and South America, and the Caribbean; satellitesÂ is aÂ major communication platform, as it is almost impossible to lay fibre optic cable in the thick vegetation (2017) |
| Broadcast media: | state-run Radiobras operates a radio and a TV network; more than 1,000 radio stations and more than 100 TV channels operating - mostly privately owned; private media ownership highly concentrated (2007) |
| Internet country code: | .br |
| Internet users: | total: 122,841,218 (July 2016 est.) |
| Internet users: | percent of population: 59.7% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 28,670,016 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 14 (2017 est.) |
