| Communications | BRAZIL |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 43,677,141 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 21 (July 2015 est.) |
| Telephones - mobile cellular: | total: 257.814 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2015 est.) |
| Telephone system: | general assessment: good working system including an extensive microwave radio relay system and a domestic satellite system with 64 earth stations |
| Telephone system: | domestic: fixed-line connections have remained relatively stable in recent years and stand at about 20 per 100 persons; less-expensive mobile-cellular technology has been a major driver in expanding telephone service to the lower-income segments of the population with mobile-cellular teledensity roughly 125 per 100 persons |
| Telephone system: | international: country code - 55; landing point for a number of submarine cables, including Americas-1, Americas-2, Atlantis-2, GlobeNet, South America-1, South American Crossing/Latin American Nautilus, and UNISUR that provide direct connectivity to South and Central America, the Caribbean, the US, Africa, and Europe; satellite earth stations - 3 Intelsat (Atlantic Ocean), 1 Inmarsat (Atlantic Ocean region east), connected by microwave relay system to Mercosur Brazilsat B3 satellite earth station (2015) |
| Broadcast media: | state-run Radiobras operates a radio and a TV network; more than 1,000 radio stations and more than 100 TV channels operating - mostly privately owned; private media ownership highly concentrated (2007) |
| Internet country code: | .br |
| Internet users: | total: 120.676 million |
| Internet users: | percent of population: 59.1% (July 2015 est.) |
