| Communications | Bermuda |
| --- | --- |
| Telephones - main lines in use: | 69,000 (2012) |
| Telephones - mobile cellular: | 91,000 (2012) |
| Telephone system: | general assessment: a good, fully automatic digital telephone system with fiber-optic trunk lines |
| Telephone system: | domestic: the system has a high fixed-line teledensity coupled with a mobile-cellular teledensity of roughly 125 per 100 persons |
| Telephone system: | international: country code - 1-441; landing points for the GlobeNet, Gemini Bermuda, CBUS, and the Challenger Bermuda-1 (CB-1) submarine cables; satellite earth stations - 3 (2010) |
| Broadcast media: | 3 TV stations; cable and satellite TV subscription services are available; roughly 13 radio stations operating (2012) |
| Internet country code: | .bm |
| Internet hosts: | 20,040 (2012) |
| Internet users: | 54,000 (2009) |
