| Communications | BRITISH VIRGIN ISLANDS |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 12,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 36 (July 2016 est.) |
| Telephones - mobile cellular: | total: 42,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2016 est.) |
| Telephone system: | general assessment: good overall telephone service |
| Telephone system: | domestic: fixed-line connections exceed 35 per 100 persons and mobile cellular subscribership is roughly 125 per 100 persons |
| Telephone system: | international: country code - 1-284; connected via submarine cable to Bermuda; the East Caribbean Fiber System (ECFS) submarine cable provides connectivity to 13 other islands in the eastern Caribbean (2015) |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half-dozen private radio stations (2007) |
| Internet country code: | .vg |
| Internet users: | total: 14,600 |
| Internet users: | percent of population: 43.6% (July 2016 est.) |
