| Communications | British Virgin Islands |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 10,004 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 42,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (July 2106 est.) |
| Telephone system: | general assessment: good overall telephone service; majorÂ expansion sectors include the mobile telephony and data segments, which continue toÂ appeal toÂ operator investment;Â several operators licensed to provide services within individual markets, most of them are small and localised (2018) |
| Telephone system: | domestic: fixed-line connections exceedÂ 29 per 100 persons and mobile cellular subscribership is roughly 125 per 100 persons (2018) |
| Telephone system: | international: country code - 1-284; landing points for PCCS, ECFS, CBUS, Deep Blue Cable, East-West, PAN-AM, Americas-1, Southern Caribbean Fiber, Columbus- IIb, St Thomas - St Croix System, Taino-Carib, and Americas I- NorthÂ via submarine cable to Caribbean, Central and South America, and US (2019) |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half-dozen private radio stations |
| Internet country code: | .vg |
| Internet users: | total: 14,600 |
| Internet users: | percent of population: 43.6% (July 2016 est.) |
